,contract_num,contract_price,contract_amount,deposit_amount,etf_amount,risk_free_amount,net_value
2022-11-01,32.0,1193080.0,38178560.0,11453568.0,761440.0,61060000.0,100000000.0
2022-11-02,30.0,1200280.0,36008400.0,10802520.0,51600.0,63940000.0,100228470.86842051
2022-11-03,30.0,1200600.0,36018000.0,10805400.0,2000.0,63980000.0,100013143.10745767
2022-11-04,24.0,1231240.0,29549760.0,8864928.0,1030239.9999999963,69420000.0,100923622.89626043
2022-11-07,23.0,1227280.0,28227440.0,8468232.0,872560.0000000037,70900000.0,99904615.66261214
2022-11-08,23.0,1228960.0,28266080.0,8479824.0,763920.0,70970000.0,100043948.97003086
2022-11-09,24.0,1224640.0,29391360.0,8817408.0,868640.0000000037,69740000.0,99903366.55154832
2022-11-10,25.0,1221200.0,30530000.0,9159000.0,1000000.0000000037,68470000.0,99918852.61123903
2022-11-11,23.0,1227920.0,28242160.0,8472648.0,567839.9999999963,71190000.0,100178190.0388629
2022-11-14,24.0,1225280.0,29406720.0,8822016.0,503279.9999999963,70090000.0,99942408.775049
2022-11-15,19.0,1246240.0,23678560.0,7103568.0,1061439.9999999963,75260000.0,100516155.81729335
2022-11-16,20.0,1241280.0,24825600.0,7447680.0,1054399.9999999963,74120000.0,99904001.61857566
2022-11-17,20.0,1243040.0,24860800.0,7458240.0,929200.0,74210000.0,100042109.48826177
2022-11-18,21.0,1243120.0,26105520.0,7831656.0,864480.0,73030000.0,100004866.60779665
2022-11-21,21.0,1240840.0,26057640.0,7817292.0,652360.0,73290000.0,99948393.07140224
2022-11-22,23.0,1227320.0,28228360.0,8468508.0,1091640.0,70680000.0,99714119.67555898
2022-11-23,23.0,1225720.0,28191560.0,8457468.0,1048440.0,70760000.0,99965261.14105
2022-11-24,23.0,1226680.0,28213640.0,8464092.0,946360.0000000037,70840000.0,100027088.99750595
2022-11-25,25.0,1219240.0,30481000.0,9144300.0,19000.0,69500000.0,99828771.42346011
2022-11-28,26.0,1214960.0,31588960.0,9476688.0,161040.0,68250000.0,99896759.13202967
2022-11-29,22.0,1234560.0,27160320.0,8148096.0,159680.0,72680000.0,100516534.37230675
2022-11-30,22.0,1232760.0,27120720.0,8136216.0,109280.0,72770000.0,99963534.07599764
2022-12-01,20.0,1238000.0,24760000.0,7428000.0,990000.0,74250000.0,100120839.880397
2022-12-02,20.0,1235200.0,24704000.0,7411200.0,936000.0,74360000.0,99945767.6417437
2022-12-05,19.0,1241920.0,23596480.0,7078944.0,353520.0,76050000.0,100146000.24542177
2022-12-06,19.0,1242920.0,23615480.0,7084644.0,224520.0,76160000.0,100023549.26922761
2022-12-07,19.0,1240240.0,23564560.0,7069368.0,155440.0,76280000.0,99953981.63433363
2022-12-08,20.0,1238440.0,24768800.0,7430640.0,211200.0,75020000.0,99970760.41459692
2022-12-09,20.0,1240840.0,24816800.0,7445040.0,43200.0,75140000.0,100053062.40122683
2022-12-12,21.0,1233920.0,25912320.0,7773696.0,47680.0,74040000.0,99866552.87221646
2022-12-13,22.0,1227400.0,27002800.0,8100840.0,357200.0,72640000.0,99867517.97100125
2022-12-14,23.0,1220800.0,28078400.0,8423520.0,741600.0,71180000.0,99857834.85905772
2022-12-15,23.0,1220000.0,28060000.0,8418000.0,660000.0,71280000.0,99985911.1053663
2022-12-16,24.0,1221200.0,29308800.0,8792640.0,951200.0000000037,69740000.0,100029986.28994483
2022-12-19,31.0,1194360.0,37025160.0,11107548.0,94840.0,62880000.0,99575163.42530803
2022-12-20,34.0,1179480.0,40102320.0,12030696.0,797680.0,59100000.0,99539330.7110973
2022-12-21,36.0,1173160.0,42233760.0,12670128.0,616240.0,57150000.0,99783913.96576084
2022-12-22,40.0,1160400.0,46416000.0,13924800.0,464000.00000000745,53120000.0,99537207.13353033
2022-12-23,44.0,1158360.0,50967840.0,15290352.0,62160.0,48970000.0,99918859.3641699
2022-12-26,36.0,1172120.0,42196320.0,12658896.0,673680.0,57130000.0,100608064.34851152
2022-12-27,34.0,1179520.0,40103680.0,12031104.0,706320.0,59190000.0,100271976.11999215
2022-12-28,36.0,1176480.0,42353280.0,12705984.0,536720.0,57110000.0,99898064.42552124
2022-12-29,36.0,1173880.0,42259680.0,12677904.0,640320.0,57100000.0,99909298.18525778
